"Designator","Quantity per PCB","Manufacturer_Part_Number","Value","Mouser Part Number","LCSC Part Number","Datasheet","Footprint"
"C1-C16","16","CC0402BRNPO9BN1R5","1.5pF","","C282238","~","Capacitor_SMD:C_0402_1005Metric"
"C17,C20","2","CL05A106MP5NUNC","10uF","","C315248","~","Capacitor_SMD:C_0402_1005Metric"
"C18,C19,C21,C22","4","TMK063ABJ104KP-F","0.1uF","963-TMK063ABJ104KP-F","","~","Capacitor_SMD:C_0201_0603Metric"
"D1-D7","7","XL-0201UYC","LED","","C5440628","~","LED_SMD:LED_0201_0603Metric"
"J4","1","538-54548-2472","54548-2472","538-54548-2472 ","","https://www.molex.com/en-us/products/part-detail-pdf/545482472?display=pdf","tobo-footprints:molex-545482472"
"J8","1","TYPE-C-31-M-12","Hroparts Elec TYPE-C-31-M-12","","C165948","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12"
"R1-R8","8","ERJ-1GJJ102C","1K","667-ERJ-1GJJ102C","","~","Resistor_SMD:R_0201_0603Metric"
"R9-R15","7","ERJ-1GNF2700C","270","667-ERJ-1GNF2700C","","~","Resistor_SMD:R_0201_0603Metric"
"R16,R17","2","ERA-1AEC512C","5.1K","667-ERA-1AEC512C","","~","Resistor_SMD:R_0201_0603Metric"
"R27","1","ERJ-6DQF1R0V","1","667-ERJ-6DQF1R0V","","~","Resistor_SMD:R_0805_2012Metric"
"S1-S5","5","SKRTLBE010","SKRTLBE010","688-SKRTLB","","https://tech.alpsalpine.com/e/products/detail/SKRTLBE010/","tobo-footprints:SKRTLBE010"
"U1,U3-U5","4","595-TS5A23167DCUR","TS5A23167DCUR","595-TS5A23167DCUR","","https://www.ti.com/lit/ds/symlink/ts5a23167.pdf","Package_SO:VSSOP-8_2.3x2mm_P0.5mm"
"U2","1","ATmega328P-AN","ATmega328P-AN","556-ATMEGA328P-AN ","C618732","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","Package_QFP:TQFP-32_7x7mm_P0.8mm"
"U6-U13,U15,U16","10","5015","5015","534-5015","","http://www.keyelco.com/product-pdf.cfm?p=1353","tobo-footprints:5015"
"U14","1","CH340E","CH340E","","C99652","https://www.mpja.com/download/35227cpdata.pdf","Package_SO:MSOP-10_3x3mm_P0.5mm"
