Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1.5pF","C_0402_1005Metric",135.083757,-83.100000,180.000000,top
"C2","1.5pF","C_0402_1005Metric",135.083757,-84.100000,0.000000,top
"C3","1.5pF","C_0402_1005Metric",135.100000,-85.300000,180.000000,top
"C4","1.5pF","C_0402_1005Metric",135.100000,-86.300000,0.000000,top
"C5","1.5pF","C_0402_1005Metric",143.430414,-83.600000,0.000000,top
"C6","1.5pF","C_0402_1005Metric",143.430414,-84.700000,180.000000,top
"C7","1.5pF","C_0402_1005Metric",143.460414,-85.900000,0.000000,top
"C8","1.5pF","C_0402_1005Metric",143.460414,-87.000000,180.000000,top
"C9","1.5pF","C_0402_1005Metric",130.300000,-94.900000,180.000000,top
"C10","1.5pF","C_0402_1005Metric",130.300000,-95.900000,0.000000,top
"C11","1.5pF","C_0402_1005Metric",130.337500,-97.300000,180.000000,top
"C12","1.5pF","C_0402_1005Metric",130.337500,-98.300000,0.000000,top
"C13","1.5pF","C_0402_1005Metric",139.000000,-95.600000,0.000000,top
"C14","1.5pF","C_0402_1005Metric",139.000000,-96.600000,180.000000,top
"C17","10uF","C_0402_1005Metric",116.070000,-92.910000,180.000000,top
"C18","0.1uF","C_0201_0603Metric",128.100000,-99.190000,90.000000,top
"C19","0.1uF","C_0201_0603Metric",132.920000,-103.355000,-90.000000,top
"C20","10uF","C_0402_1005Metric",133.900000,-103.355000,90.000000,top
"C21","0.1uF","C_0201_0603Metric",134.900000,-103.355000,90.000000,top
"C22","0.1uF","C_0201_0603Metric",135.700000,-103.355000,90.000000,top
"C25","10uF","C_0402_1005Metric",144.756481,-109.473530,-90.000000,top
"C26","22uF","C_0402_1005Metric",150.283785,-108.768287,90.000000,top
"C27","2.2uF","C_0402_1005Metric",146.725030,-111.649385,0.000000,top
"D1","LED","LED_0201_0603Metric",129.419997,-88.349999,180.000000,top
"D2","LED","LED_0201_0603Metric",129.419997,-87.369999,180.000000,top
"D3","LED","LED_0201_0603Metric",128.430000,-83.135000,90.000000,top
"D4","LED","LED_0201_0603Metric",130.430000,-83.135000,90.000000,top
"D5","LED","LED_0201_0603Metric",129.419997,-86.389999,180.000000,top
"D6","LED","LED_0201_0603Metric",129.430000,-83.135000,90.000000,top
"D7","LED","LED_0201_0603Metric",131.430000,-83.135000,90.000000,top
"J4","54548-2472","molex-545482472",151.720000,-90.220000,90.000000,top
"J8","Hroparts Elec TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",139.980000,-123.000000,0.000000,top
"R1","1K","R_0201_0603Metric",128.900000,-90.980000,90.000000,top
"R2","1K","R_0201_0603Metric",129.800000,-90.980000,90.000000,top
"R3","1K","R_0201_0603Metric",122.380000,-83.000000,0.000000,top
"R4","1K","R_0201_0603Metric",122.355000,-83.900000,0.000000,top
"R5","1K","R_0201_0603Metric",122.355000,-84.800000,0.000000,top
"R6","1K","R_0201_0603Metric",122.355000,-85.700000,0.000000,top
"R7","1K","R_0201_0603Metric",116.900000,-86.280000,0.000000,top
"R8","1K","R_0201_0603Metric",121.620000,-81.200000,180.000000,top
"R9","270","R_0201_0603Metric",131.144996,-88.349999,0.000000,top
"R10","270","R_0201_0603Metric",131.144996,-87.369999,0.000000,top
"R11","270","R_0201_0603Metric",128.430000,-84.905000,-90.000000,top
"R12","270","R_0201_0603Metric",130.430000,-84.905000,-90.000000,top
"R13","270","R_0201_0603Metric",131.144996,-86.389999,0.000000,top
"R14","270","R_0201_0603Metric",129.430000,-84.905000,-90.000000,top
"R15","270","R_0201_0603Metric",131.430000,-84.905000,-90.000000,top
"R16","5.1K","R_0201_0603Metric",141.735000,-116.810000,90.000000,top
"R17","5.1K","R_0201_0603Metric",137.950000,-116.950000,180.000000,top
"R20","1K","R_0201_0603Metric",122.620000,-79.300000,180.000000,top
"R27","1","R_0805_2012Metric",152.912500,-101.500000,180.000000,top
"S1","SKRTLBE010","SKRTLBE010",170.120000,-90.100000,90.000000,top
"S2","SKRTLBE010","SKRTLBE010",169.649480,-95.249728,80.000000,top
"S3","SKRTLBE010","SKRTLBE010",168.315106,-100.281144,70.000000,top
"S4","SKRTLBE010","SKRTLBE010",166.065770,-105.007853,60.000000,top
"S5","SKRTLBE010","SKRTLBE010",163.049904,-109.351473,50.000000,top
"U1","~","VSSOP50P400X100-14N",139.097300,-84.700000,0.000000,top
"U2","~","VSSOP50P400X100-14N",134.512000,-96.400000,0.000000,top
"U3","ATmega328P-AN","TQFP-32_7x7mm_P0.8mm",122.400000,-92.550000,0.000000,top
"U4","CH340E","MSOP-10_3x3mm_P0.5mm_narrowpads",134.200000,-107.600000,90.000000,top
"U5","MAXM20343AMP+","21-100447_ADI",147.500000,-109.000000,90.000000,top
"U6","5015","5015",122.570000,-75.290000,-90.000000,top
"U7","5015","5015",125.633333,-75.290000,-90.000000,top
"U8","5015","5015",128.696666,-75.290000,-90.000000,top
"U9","5015","5015",127.366667,-102.500000,-90.000000,top
"U10","5015","5015",130.700000,-102.500000,-90.000000,top
"U11","5015","5015",124.033334,-102.500000,90.000000,top
"U12","5015","5015",120.700001,-102.500000,90.000000,top
"U13","5015","5015",153.000000,-108.500000,0.000000,top
"U15","5015","5015",119.360000,-83.860000,90.000000,top
"U16","5015","5015",131.760000,-75.290000,90.000000,top
